Headline,Domain,Keywords,Sentiment
Delta flight forced back to Amsterdam after maggots fall onto passenger,Travel,"['delta', 'flight', 'forced', 'back', 'amsterdam', 'maggot', 'fall', 'onto', 'passenger']",Negative
Australian nude beach faces possible closure,Travel,"['australian', 'nude', 'beach', 'face', 'possible', 'closure']",Neutral
"It’s a brand new route on the world’s most famous train – but it’ll cost you $8,500 one way",Travel,"['’', 'brand', 'new', 'route', 'world', '’', 'famous', 'train', '–', '’', 'cost', '8,500', 'one', 'way']",Neutral
Devastation in Gaza as Israel wages war on Hamas,World,"['devastation', 'gaza', 'israel', 'wage', 'war', 'hamas']",Negative
"Talks for Gaza ceasefire at a standstill, no deal likely by Ramadan",World,"['talk', 'gaza', 'ceasefire', 'standstill', 'deal', 'likely', 'ramadan']",Negative
The planet just shattered heat records for the ninth month in a row,World,"['planet', 'shattered', 'heat', 'record', 'ninth', 'month', 'row']",Negative
Terror strikes in northeast Nigeria as suspected insurgents abduct 50,World,"['terror', 'strike', 'northeast', 'nigeria', 'suspected', 'insurgent', 'abduct', '50']",Negative
Deadly Russian missile struck close to Zelensky and Greek leader’s convoy,World,"['deadly', 'russian', 'missile', 'struck', 'close', 'zelensky', 'greek', 'leader', '’', 'convoy']",Negative
Senegal sets election date after protests sparked by delay,World,"['senegal', 'set', 'election', 'date', 'protest', 'sparked', 'delay']",Negative
US pushes Haiti’s prime minister on transition as gang leader warns of ‘genocide’,World,"['u', 'push', 'haiti', '’', 'prime', 'minister', 'transition', 'gang', 'leader', 'warns', '‘', 'genocide', '’']",Negative
"Proposal to mark a new chapter in Earth’s history rejected, scientists say",World,"['proposal', 'mark', 'new', 'chapter', 'earth', '’', 'history', 'rejected', 'scientist', 'say']",Negative
"Ukraine’s drones sink another Russian warship, Kyiv says",World,"['ukraine', '’', 'drone', 'sink', 'another', 'russian', 'warship', 'kyiv', 'say']",Negative
‘Cosmic clock’ dates earliest human presence in Europe,World,"['‘', 'cosmic', 'clock', '’', 'date', 'earliest', 'human', 'presence', 'europe']",Neutral
Where sinking cities are pushing sea level rise into overdrive,World,"['sinking', 'city', 'pushing', 'sea', 'level', 'rise', 'overdrive']",Neutral
What it’s like on board an outnumbered Philippine ship facing down China’s push to dominate the South China Sea,World,"['’', 'like', 'board', 'outnumbered', 'philippine', 'ship', 'facing', 'china', '’', 'push', 'dominate', 'south', 'china', 'sea']",Positive
Confusion persists over when the Princess of Wales will appear in public again,World,"['confusion', 'persists', 'princess', 'wale', 'appear', 'public']",Negative
How Gaza’s hospitals became battlegrounds,World,"['gaza', '’', 'hospital', 'became', 'battleground']",Negative
How the climate crisis fuels gender inequality,World,"['climate', 'crisis', 'fuel', 'gender', 'inequality']",Negative
Pro-Palestinian firebrand politician wins UK byelection in blow to main opposition Labour Party,World,"['pro-palestinian', 'firebrand', 'politician', 'win', 'uk', 'byelection', 'blow', 'main', 'opposition', 'labour', 'party']",Positive
"Hearse drivers refuse to take Navalny’s body to Moscow funeral, Putin critic’s team say",World,"['hearse', 'driver', 'refuse', 'take', 'navalny', '’', 'body', 'moscow', 'funeral', 'putin', 'critic', '’', 'team', 'say']",Negative
Putin says West sending troops to Ukraine could lead to nuclear war,World,"['putin', 'say', 'west', 'sending', 'troop', 'ukraine', 'could', 'lead', 'nuclear', 'war']",Negative
A breakaway region in Europe is asking Russia for protection. Here’s what to know,World,"['breakaway', 'region', 'europe', 'asking', 'russia', 'protection', '’', 'know']",Neutral
Newborns die of hunger and mothers struggle to feed their children as Israel’s siege condemns Gazans to starvation,World,"['newborn', 'die', 'hunger', 'mother', 'struggle', 'feed', 'child', 'israel', '’', 'siege', 'condemns', 'gazans', 'starvation']",Negative
Hamas responds to ceasefire proposal but accuses Israel of ‘stalling’,World,"['hamas', 'responds', 'ceasefire', 'proposal', 'accuses', 'israel', '‘', 'stalling', '’']",Negative
"Israeli forces fired at Palestinians waiting for aid in northern Gaza, eyewitnesses say",World,"['israeli', 'force', 'fired', 'palestinian', 'waiting', 'aid', 'northern', 'gaza', 'eyewitness', 'say']",Negative
"No space left for bodies, says gravedigger who’s overseen half of Gaza’s burials",World,"['space', 'left', 'body', 'say', 'gravedigger', '’', 'overseen', 'half', 'gaza', '’', 'burial']",Negative
Iran announces record low election turnout despite calls on voters to participate,World,"['iran', 'announces', 'record', 'low', 'election', 'turnout', 'despite', 'call', 'voter', 'participate']",Negative
"Children starve to death in Gaza, WHO says, as ceasefire deal sticking points remain",World,"['child', 'starve', 'death', 'gaza', 'say', 'ceasefire', 'deal', 'sticking', 'point', 'remain']",Negative
"World’s largest hunger crisis looms in Sudan, UN warns, as humanitarian response hits ‘breaking point’",World,"['world', '’', 'largest', 'hunger', 'crisis', 'loom', 'sudan', 'un', 'warns', 'humanitarian', 'response', 'hit', '‘', 'breaking', 'point', '’']",Negative
US sanctions Zimbabwe leader and wife for alleged corruption and human rights abuse,World,"['u', 'sanction', 'zimbabwe', 'leader', 'wife', 'alleged', 'corruption', 'human', 'right', 'abuse']",Negative
"Around 170 ‘executed’ in three Burkina Faso villages, public prosecutor says",World,"['around', '170', '‘', 'executed', '’', 'three', 'burkina', 'faso', 'village', 'public', 'prosecutor', 'say']",Neutral
A lone orca killed a great white in less than two minutes. Scientists say it could signal an ecological shift,World,"['lone', 'orca', 'killed', 'great', 'white', 'le', 'two', 'minute', 'scientist', 'say', 'could', 'signal', 'ecological', 'shift']",Negative
Argentina’s Milei bans gender-inclusive language in official documents,World,"['argentina', '’', 'milei', 'ban', 'gender-inclusive', 'language', 'official', 'document']",Neutral
"Haiti’s prime minister lands in Puerto Rico, official says, as gangs rampage at home",World,"['haiti', '’', 'prime', 'minister', 'land', 'puerto', 'rico', 'official', 'say', 'gang', 'rampage', 'home']",Neutral
Gangs rule Haiti’s capital. Some say they’re ready to overthrow the government too,World,"['gang', 'rule', 'haiti', '’', 'capital', 'say', '’', 'ready', 'overthrow', 'government']",Positive
Haiti declares state of emergency after mass prison escape,World,"['haiti', 'declares', 'state', 'emergency', 'mass', 'prison', 'escape']",Negative
Pop star apologizes to fans after relationship reveal sparks backlash,World,"['pop', 'star', 'apologizes', 'fan', 'relationship', 'reveal', 'spark', 'backlash']",Positive
Maldives signs China military pact in further shift away from India,World,"['maldives', 'sign', 'china', 'military', 'pact', 'shift', 'away', 'india']",Neutral
Singapore defends Taylor Swift’s exclusive Southeast Asia stop after neighbors cry foul,World,"['singapore', 'defends', 'taylor', 'swift', '’', 'exclusive', 'southeast', 'asia', 'stop', 'neighbor', 'cry', 'foul']",Negative
Seven men arrested in India for alleged gang-rape of tourist,World,"['seven', 'men', 'arrested', 'india', 'alleged', 'gang-rape', 'tourist']",Negative
Away’s new Soundwave Collection is here to kick off festival season,World,"['away', '’', 'new', 'soundwave', 'collection', 'kick', 'festival', 'season']",Positive
Bellagio fountains in Las Vegas paused for rare visitor,World,"['bellagio', 'fountain', 'la', 'vega', 'paused', 'rare', 'visitor']",Neutral
Red panda found alongside 86 other animals in luggage at Thai airport,World,"['red', 'panda', 'found', 'alongside', '86', 'animal', 'luggage', 'thai', 'airport']",Negative
She moved to Italy and bought a palazzo for a fresh start. Her ex-husband came with her,World,"['moved', 'italy', 'bought', 'palazzo', 'fresh', 'start', 'ex-husband', 'came']",Positive
China to extend visa exemption to six European countries,World,"['china', 'extend', 'visa', 'exemption', 'six', 'european', 'country']",Positive
The woman who helps actors get into character — in a very unconventional way,World,"['woman', 'help', 'actor', 'get', 'character', '—', 'unconventional', 'way']",Positive
Gabriel Garcia Marquez’s sons publish unfinished novel that the late author wanted ‘destroyed’,World,"['gabriel', 'garcia', 'marquez', '’', 'son', 'publish', 'unfinished', 'novel', 'late', 'author', 'wanted', '‘', 'destroyed', '’']",Positive
A tech company is growing diamonds in the desert,World,"['tech', 'company', 'growing', 'diamond', 'desert']",Positive
"Most countries have made ‘little or no progress’ in returning Nazi-looted art, report finds",World,"['country', 'made', '‘', 'little', 'progress', '’', 'returning', 'nazi-looted', 'art', 'report', 'find']",Negative
Powerful California blizzard shuts down roads and ski resorts as heavy snow and fierce winds slam mountains,World,"['powerful', 'california', 'blizzard', 'shuts', 'road', 'ski', 'resort', 'heavy', 'snow', 'fierce', 'wind', 'slam', 'mountain']",Positive
"Rare blizzard conditions batter California mountains with heavy snow and powerful winds, making travel dangerous",World,"['rare', 'blizzard', 'condition', 'batter', 'california', 'mountain', 'heavy', 'snow', 'powerful', 'wind', 'making', 'travel', 'dangerous']",Negative
"Blockbuster blizzard is slamming California with 12 feet of snow possible, 100-mph wind gusts",World,"['blockbuster', 'blizzard', 'slamming', 'california', '12', 'foot', 'snow', 'possible', '100-mph', 'wind', 'gust']",Positive
Freddie Mercury’s London home for sale for $38 million,World,"['freddie', 'mercury', '’', 'london', 'home', 'sale', '38', 'million']",Neutral
Google opens New York headquarters in repurposed 1930s railway terminal,World,"['google', 'open', 'new', 'york', 'headquarters', 'repurposed', '1930s', 'railway', 'terminal']",Neutral
Two skyscrapers joined by daring cantilevered ‘skybridge’ to soar over New York,World,"['two', 'skyscraper', 'joined', 'daring', 'cantilevered', '‘', 'skybridge', '’', 'soar', 'new', 'york']",Positive
Oakland A’s vision of Las Vegas ballpark draws comparisons with Sydney Opera House – and an armadillo,World,"['oakland', '’', 'vision', 'la', 'vega', 'ballpark', 'draw', 'comparison', 'sydney', 'opera', 'house', '–', 'armadillo']",Positive
Jon Rahm takes a swing at world ranking rules after LIV Golf abandons ‘fight’ for points,World,"['jon', 'rahm', 'take', 'swing', 'world', 'ranking', 'rule', 'liv', 'golf', 'abandon', '‘', 'fight', '’', 'point']",Negative
"World Athletics’ policy limiting trans women participation is ‘here to stay,’ says president Sebastian Coe",World,"['world', 'athletics', '’', 'policy', 'limiting', 'trans', 'woman', 'participation', '‘', 'stay', '’', 'say', 'president', 'sebastian', 'coe']",Neutral
Iditarod musher penalized for not sufficiently gutting moose he killed in ‘self-defense’,World,"['iditarod', 'musher', 'penalized', 'sufficiently', 'gutting', 'moose', 'killed', '‘', 'self-defense', '’']",Negative
"Dr. Kwane Stewart, who cares for the pets of those experiencing homelessness, is CNN’s Hero of the Year",World,"['dr.', 'kwane', 'stewart', 'care', 'pet', 'experiencing', 'homelessness', 'cnn', '’', 'hero', 'year']",Positive
"Jason Momoa, Amanda Seyfried, other stars to take part in tonight’s CNN Heroes event",World,"['jason', 'momoa', 'amanda', 'seyfried', 'star', 'take', 'part', 'tonight', '’', 'cnn', 'hero', 'event']",Positive
Meet the people who are making the world a better place,World,"['meet', 'people', 'making', 'world', 'better', 'place']",Positive
CNN Heroes 2023 Voting Disclosures,World,"['cnn', 'hero', '2023', 'voting', 'disclosure']",Positive
Oakland A’s vision of Las Vegas ballpark draws comparisons with Syndey Opera House – and an armadillo,Sport,"['oakland', '’', 'vision', 'la', 'vega', 'ballpark', 'draw', 'comparison', 'syndey', 'opera', 'house', '–', 'armadillo']",Positive
Waterlogged pitch causes controversy as US women’s team beats Canada in penalty shootout to reach W Gold Cup final,Sport,"['waterlogged', 'pitch', 'cause', 'controversy', 'u', 'woman', '’', 'team', 'beat', 'canada', 'penalty', 'shootout', 'reach', 'w', 'gold', 'cup', 'final']",Negative
Iditarod musher penalized for not sufficiently gutting moose he killed in ‘self-defense’,Sport,"['iditarod', 'musher', 'penalized', 'sufficiently', 'gutting', 'moose', 'killed', '‘', 'self-defense', '’']",Negative
"Real Madrid reaches Champions League quarterfinals, but defender Antonio Rüdiger says the team won’t be celebrating",Sport,"['real', 'madrid', 'reach', 'champion', 'league', 'quarterfinal', 'defender', 'antonio', 'rüdiger', 'say', 'team', '’', 'celebrating']",Positive
Kylian Mbappé breaks part of net with powerful goal as he’s hailed ‘No. 1 player in the world’,Sport,"['kylian', 'mbappé', 'break', 'part', 'net', 'powerful', 'goal', '’', 'hailed', '‘', '1', 'player', 'world', '’']",Positive
Jon Rahm takes a swing at world ranking rules after LIV Golf abandons ‘fight’ for points,Sport,"['jon', 'rahm', 'take', 'swing', 'world', 'ranking', 'rule', 'liv', 'golf', 'abandon', '‘', 'fight', '’', 'point']",Negative
Rafael Nadal withdraws from BNP Paribas Open at Indian Wells a day before first round,Sport,"['rafael', 'nadal', 'withdraws', 'bnp', 'paribas', 'open', 'indian', 'well', 'day', 'first', 'round']",Positive
Outlandish cycling helmet design under review by governing body,Sport,"['outlandish', 'cycling', 'helmet', 'design', 'review', 'governing', 'body']",Neutral
"Kelvin Kiptum ran just three marathons, all of them under two hours, two minutes. David Rudisha pays tribute to unique talent",Sport,"['kelvin', 'kiptum', 'ran', 'three', 'marathon', 'two', 'hour', 'two', 'minute', 'david', 'rudisha', 'pay', 'tribute', 'unique', 'talent']",Positive
"‘When I see Russian athletes … I see every city destroyed,’ says high jump star",Sport,"['‘', 'see', 'russian', 'athlete', '…', 'see', 'every', 'city', 'destroyed', '’', 'say', 'high', 'jump', 'star']",Neutral
"He was running the biggest soccer club in Ukraine. After war broke out, his life changed forever",Sport,"['running', 'biggest', 'soccer', 'club', 'ukraine', 'war', 'broke', 'life', 'changed', 'forever']",Negative
"‘Breaking has total freedom for me,’ says Menno van Gorp, a medal hopeful in the newest Olympic sport",Sport,"['‘', 'breaking', 'total', 'freedom', '’', 'say', 'menno', 'van', 'gorp', 'medal', 'hopeful', 'newest', 'olympic', 'sport']",Positive
"These athletes suffered life-changing injuries. Then, they turned to psychedelics.",Sport,"['athlete', 'suffered', 'life-changing', 'injury', 'turned', 'psychedelics']",Negative
"They played for their country in their 20s. By their 40s, they had early onset dementia after playing this physical sport",Sport,"['played', 'country', '20', '40', 'early', 'onset', 'dementia', 'playing', 'physical', 'sport']",Positive
These young athletes were bound for stardom until a mysterious condition derailed their running careers,Sport,"['young', 'athlete', 'bound', 'stardom', 'mysterious', 'condition', 'derailed', 'running', 'career']",Negative
Rex Chapman is glad to ‘be on the other side’ of drug and gambling addiction,Sport,"['rex', 'chapman', 'glad', '‘', 'side', '’', 'drug', 'gambling', 'addiction']",Positive
This soccer star has been handed a six-year prison sentence in absentia for trafficking cocaine. He’s still playing,Sport,"['soccer', 'star', 'handed', 'six-year', 'prison', 'sentence', 'absentia', 'trafficking', 'cocaine', '’', 'still', 'playing']",Negative
"Excluded from the Olympics for his whole career, artistic swimmer Bill May set for ‘beautiful’ debut at this year’s Games",Sport,"['excluded', 'olympics', 'whole', 'career', 'artistic', 'swimmer', 'bill', 'may', 'set', '‘', 'beautiful', '’', 'debut', 'year', '’', 'game']",Negative
"Biden will win Hawaii Democratic caucuses, CNN projects",Politics,"['biden', 'win', 'hawaii', 'democratic', 'caucus', 'cnn', 'project']",Positive
"Jill Biden’s State of the Union guests include Alabama IVF patient, Swedish prime minister and UAW chief",Politics,"['jill', 'biden', '’', 'state', 'union', 'guest', 'include', 'alabama', 'ivf', 'patient', 'swedish', 'prime', 'minister', 'uaw', 'chief']",Neutral
Biden’s allies are begging him to fight harder. The State of the Union is his chance to do so.,Politics,"['biden', '’', 'ally', 'begging', 'fight', 'harder', 'state', 'union', 'chance']",Negative
What to watch in Biden’s 2024 State of the Union address,Politics,"['watch', 'biden', '’', '2024', 'state', 'union', 'address']",Neutral
Supreme Court is under pressure to step into the debate over transgender rights,Politics,"['supreme', 'court', 'pressure', 'step', 'debate', 'transgender', 'right']",Positive
See how much student loan debt Biden has canceled,Politics,"['see', 'much', 'student', 'loan', 'debt', 'biden', 'canceled']",Negative
"The state of the union, in 9 charts",Politics,"['state', 'union', '9', 'chart']",Neutral
"Trump faces a fractured party, legal troubles and financial headwinds after securing GOP nomination",Politics,"['trump', 'face', 'fractured', 'party', 'legal', 'trouble', 'financial', 'headwind', 'securing', 'gop', 'nomination']",Positive
Biden vs. Trump is set. What are the alternatives?,Politics,"['biden', 'vs.', 'trump', 'set', 'alternative']",Neutral
America has never had a presumptive nominee like Donald Trump,Politics,"['america', 'never', 'presumptive', 'nominee', 'like', 'donald', 'trump']",Positive
The general election is here and it’s Trump vs. Biden,Politics,"['general', 'election', '’', 'trump', 'vs.', 'biden']",Neutral
"Portland, hard drugs and other experiments in direct democracy",Politics,"['portland', 'hard', 'drug', 'experiment', 'direct', 'democracy']",Negative
Nikki Haley needs delegates. Where can she find them?,Politics,"['nikki', 'haley', 'need', 'delegate', 'find']",Neutral
A defining week set to lay bare the choice in the 2024 election,Politics,"['defining', 'week', 'set', 'lay', 'bare', 'choice', '2024', 'election']",Neutral
What to know about Super Tuesday,Politics,"['know', 'super', 'tuesday']",Positive
"This is a silly way to run a government, but we do it every year",Politics,"['silly', 'way', 'run', 'government', 'every', 'year']",Neutral
Why the calendar may be the decisive factor in the 2024 election,Politics,"['calendar', 'may', 'decisive', 'factor', '2024', 'election']",Positive
3 very different border realities,Politics,"['3', 'different', 'border', 'reality']",Neutral
Why November could decide Senate control for years,Politics,"['november', 'could', 'decide', 'senate', 'control', 'year']",Neutral
A visual history of the State of the Union,Politics,"['visual', 'history', 'state', 'union']",Neutral
"Ahead of Oscars, maker of blockbuster weight loss drug urges against ‘vanity’ use in new ad campaign",Health,"['ahead', 'oscar', 'maker', 'blockbuster', 'weight', 'loss', 'drug', 'urge', '‘', 'vanity', '’', 'use', 'new', 'ad', 'campaign']",Positive
Maine mass shooter’s brain tissue showed signs of traumatic injury but not CTE,Health,"['maine', 'mass', 'shooter', '’', 'brain', 'tissue', 'showed', 'sign', 'traumatic', 'injury', 'cte']",Negative
"Cancer-causing chemical can form at ‘unacceptably high levels’ in certain acne products, independent lab claims",Health,"['cancer-causing', 'chemical', 'form', '‘', 'unacceptably', 'high', 'level', '’', 'certain', 'acne', 'product', 'independent', 'lab', 'claim']",Positive
FDA warns consumers to stop using six brands of ground cinnamon found to have high levels of lead,Health,"['fda', 'warns', 'consumer', 'stop', 'using', 'six', 'brand', 'ground', 'cinnamon', 'found', 'high', 'level', 'lead']",Negative
A man deliberately got 217 Covid shots. Here’s what happened,Health,"['man', 'deliberately', 'got', '217', 'covid', 'shot', '’', 'happened']",Neutral
Free home Covid-19 test program to be suspended this week,Health,"['free', 'home', 'covid-19', 'test', 'program', 'suspended', 'week']",Positive
"Alabama governor signs IVF protection bill into law, but experts say it will take more work to protect fertility services",Health,"['alabama', 'governor', 'sign', 'ivf', 'protection', 'bill', 'law', 'expert', 'say', 'take', 'work', 'protect', 'fertility', 'service']",Positive
I’ve been waking up at 5 a.m. for years — here are my secrets to being a morning person,Health,"['’', 'waking', '5', 'a.m.', 'year', '—', 'secret', 'morning', 'person']",Neutral
"Single dose of LSD provides immediate and lasting relief from anxiety, study says",Health,"['single', 'dose', 'lsd', 'provides', 'immediate', 'lasting', 'relief', 'anxiety', 'study', 'say']",Positive
"Abortion is the top issue for 1 in 8 voters in the US ahead of this year’s elections, KFF survey finds",Health,"['abortion', 'top', 'issue', '1', '8', 'voter', 'u', 'ahead', 'year', '’', 'election', 'kff', 'survey', 'find']",Positive
Many women fear for their safety when running alone. Here’s how they prepare,Health,"['many', 'woman', 'fear', 'safety', 'running', 'alone', '’', 'prepare']",Negative
‘Parrot fever’ outbreak in Europe has led to deaths of five people,Health,"['‘', 'parrot', 'fever', '’', 'outbreak', 'europe', 'led', 'death', 'five', 'people']",Neutral
"The Covid-19 pandemic killed off one strain of the flu, and that will change the next vaccines",Health,"['covid-19', 'pandemic', 'killed', 'one', 'strain', 'flu', 'change', 'next', 'vaccine']",Negative
Help your pets adjust to Daylight Saving Time so you can get some sleep,Health,"['help', 'pet', 'adjust', 'daylight', 'saving', 'time', 'get', 'sleep']",Positive
"Nanoplastics linked to heart attack, stroke and early death, study finds",Health,"['nanoplastics', 'linked', 'heart', 'attack', 'stroke', 'early', 'death', 'study', 'find']",Negative
"Proposal to mark a new chapter in Earth’s history rejected, scientists say",Health,"['proposal', 'mark', 'new', 'chapter', 'earth', '’', 'history', 'rejected', 'scientist', 'say']",Negative
Why the 2024 eclipse will be a different experience from 2017,Health,"['2024', 'eclipse', 'different', 'experience', '2017']",Neutral
"Ancient ‘star dune’ evidence isn’t missing. It’s been hiding in plain sight, radar reveals",Health,"['ancient', '‘', 'star', 'dune', '’', 'evidence', '’', 'missing', '’', 'hiding', 'plain', 'sight', 'radar', 'reveals']",Negative
Mystery of common mushroom growing from an amphibian shows how little we know about fungi,Health,"['mystery', 'common', 'mushroom', 'growing', 'amphibian', 'show', 'little', 'know', 'fungi']",Positive
Do this now to ease you and your child’s transition to Daylight Saving Time,Health,"['ease', 'child', '’', 'transition', 'daylight', 'saving', 'time']",Positive
"Yogurts can now make limited claim that they lower type 2 diabetes risk, FDA says",Health,"['yogurt', 'make', 'limited', 'claim', 'lower', 'type', '2', 'diabetes', 'risk', 'fda', 'say']",Negative
"Collard greens, kale’s leafy cousin, have a history in my family",Health,"['collard', 'green', 'kale', '’', 'leafy', 'cousin', 'history', 'family']",Neutral
"Ultraprocessed foods linked to heart disease, diabetes, mental disorders and early death, study finds",Health,"['ultraprocessed', 'food', 'linked', 'heart', 'disease', 'diabetes', 'mental', 'disorder', 'early', 'death', 'study', 'find']",Negative
"Any use of marijuana linked to higher risk of heart attack and stroke, study says",Health,"['use', 'marijuana', 'linked', 'higher', 'risk', 'heart', 'attack', 'stroke', 'study', 'say']",Negative
3 couch stretches that relieve aches and pains,Health,"['3', 'couch', 'stretch', 'relieve', 'ache', 'pain']",Negative
"With the decline in youth mental health comes another concerning trend, study finds",Health,"['decline', 'youth', 'mental', 'health', 'come', 'another', 'concerning', 'trend', 'study', 'find']",Neutral
"Paul McCartney, scribe of legendary love songs, doesn’t think writing about love is cheesy",Entertainment,"['paul', 'mccartney', 'scribe', 'legendary', 'love', 'song', '’', 'think', 'writing', 'love', 'cheesy']",Positive
"Five-time Oscar nominee Annette Bening appreciates that folks are mad she’s never won. She’s OK, though",Entertainment,"['five-time', 'oscar', 'nominee', 'annette', 'bening', 'appreciates', 'folk', 'mad', '’', 'never', '’', 'ok', 'though']",Negative
How this Oscar-nominated movie conveyed the horrors of the Holocaust without ever showing violence,Entertainment,"['oscar-nominated', 'movie', 'conveyed', 'horror', 'holocaust', 'without', 'ever', 'showing', 'violence']",Negative
‘Ricky Stanicky’ gives John Cena and Zac Efron a chance to flex their comedy muscles,Entertainment,"['‘', 'ricky', 'stanicky', '’', 'give', 'john', 'cena', 'zac', 'efron', 'chance', 'flex', 'comedy', 'muscle']",Positive
‘Oppenheimer’ cast members join Jane Fonda and more to spotlight nuclear threat,Entertainment,"['‘', 'oppenheimer', '’', 'cast', 'member', 'join', 'jane', 'fonda', 'spotlight', 'nuclear', 'threat']",Negative
Drake Bell to share claims of abuse as a child star in new docuseries,Entertainment,"['drake', 'bell', 'share', 'claim', 'abuse', 'child', 'star', 'new', 'docuseries']",Negative
Helen Mirren gets her own Barbie for International Women’s Day,Entertainment,"['helen', 'mirren', 'get', 'barbie', 'international', 'woman', '’', 'day']",Neutral
"‘Rust’ movie armorer found guilty of involuntary manslaughter, acquitted of evidence tampering",Entertainment,"['‘', 'rust', '’', 'movie', 'armorer', 'found', 'guilty', 'involuntary', 'manslaughter', 'acquitted', 'evidence', 'tampering']",Negative
Madonna is revealing more about her near-death health scare,Entertainment,"['madonna', 'revealing', 'near-death', 'health', 'scare']",Negative
"Garrison Brown, son of Janelle and Kody Brown from ‘Sister Wives,’ dead at 25",Entertainment,"['garrison', 'brown', 'son', 'janelle', 'kody', 'brown', '‘', 'sister', 'wife', '’', 'dead', '25']",Negative
Nigel Lythgoe denies Paula Abdul’s sexual assault claims in legal response,Entertainment,"['nigel', 'lythgoe', 'denies', 'paula', 'abdul', '’', 'sexual', 'assault', 'claim', 'legal', 'response']",Negative
Taylor Swift is related to famed poet Emily Dickinson and now it all makes sense,Entertainment,"['taylor', 'swift', 'related', 'famed', 'poet', 'emily', 'dickinson', 'make', 'sense']",Positive
